ORIGIN,market_coupons,market_distance,market_fare,PASSENGERS,Origin_population
ABE,1.490420481519159,1033.3799593082401,185.44181247880638,11796.0,712594.0
ABI,2.0409068506653525,1083.8817151306062,271.83713652045344,2029.0,152888.0
ABQ,1.5043135698034844,1116.2054175382877,200.70966926753295,65491.0,834685.0
ACK,1.3503638089212275,577.1051882315722,228.85711167352108,6322.0,
ACT,2.058898847631242,1032.1350832266326,267.2838348271447,1562.0,191064.0
ACV,1.7501037775010377,1263.9958488999584,268.35288501452885,2409.0,122814.0
ACY,1.0272575560912294,855.2275171518635,61.97870109401076,10786.0,236224.0
ADQ,1.9249067164179106,1470.3194962686566,319.2404291044776,2144.0,13303.0
AEX,1.9620111731843575,1151.87635009311,314.6369720670391,2685.0,152717.0
AGS,2.0398247710075665,1052.3694411257136,254.85045267489713,7533.0,534612.0
ALB,1.619641196013289,1305.3220996677742,228.93869289036545,37625.0,819105.0
ALW,1.717720391807658,1052.0961709706144,184.32101513802314,1123.0,57035.0
AMA,1.6930260764099454,913.5376591873863,227.72323226197696,8245.0,197654.0
ANC,1.5853843701128134,2234.815748318428,290.542492370295,65861.0,359341.0
ASE,1.7238227146814404,1196.2961218836565,342.98461495844873,7220.0,
ATL,1.1048928279113541,910.6878639401772,188.71199087403627,448391.0,3087755.0
ATW,1.7886745062221714,1138.5524603265212,250.22040986413973,8759.0,181552.0
AUS,1.3421533521352895,1191.3938692947154,178.74228005408202,189342.0,874516.0
AVL,1.465635567933161,836.4358464292819,162.35153371792322,20108.0,409001.0
AVP,1.9041712104689203,1268.2164667393674,249.05329607415484,7336.0,559537.0
AZA,1.0,974.5047893825736,80.93377149451818,17330.0,4287323.0
AZO,2.014270328486807,1075.8139472267098,258.6329106085083,3714.0,304822.0
BDL,1.4878023806476386,1292.3849993600409,217.3203768078843,78130.0,1173575.0
BET,1.3438781487990628,830.8271821909783,199.15804335090803,1707.0,
BFL,1.8511097410604191,1489.701294697904,295.2877373612823,3244.0,569829.0
BGM,1.9874888293118855,1321.3279714030384,556.3840571939231,1119.0,248959.0
BGR,1.6715349931386003,1278.5719466771222,260.5160782199569,10202.0,146301.0
BHM,1.6305831356354157,971.2180241923674,240.31215241777232,34143.0,1027178.0
BIL,1.7161930845600821,1187.3384970900377,250.8121217048956,11684.0,144229.0
BIS,1.7058905444924106,1195.7259434619134,245.743349115722,7181.0,84535.0
BLI,1.3313341493268054,1075.1542227662178,135.01631211750305,8170.0,133330.0
BLV,1.0,780.4847151459009,76.2441500694766,4318.0,
BMI,1.5315229775921002,1034.4158754272694,187.5233213064945,5266.0,135395.0
BNA,1.2658975255409237,929.6759451945328,182.51213422788993,180201.0,1086033.0
BOI,1.4886870618228172,1065.2473709369026,194.2381066762269,50208.0,
BOS,1.1950686314190488,1338.9351511790014,200.91472799772146,400254.0,8269386.0
BQK,1.8205625606207565,920.8952473326867,267.12575169738113,1031.0,85493.0
BQN,1.2152008956337852,1467.288344321433,154.20093170792387,8039.0,
BRO,1.865028609895658,1226.7849209020533,291.0980612588354,2971.0,357097.0
BTR,1.811687590267748,1014.723808465726,261.9823975113876,9001.0,641721.0
BTV,1.6873007438894794,1256.2605207226354,237.4637991498406,18820.0,201094.0
BUF,1.4478558372021546,1049.0593506850644,192.57699509859427,61819.0,1190660.0
BUR,1.216709504893943,813.6572812005089,151.04683490406833,77034.0,
BWI,1.2030293111913108,1140.99234274197,176.00897092136884,232198.0,2669702.0
BZN,1.671699078812692,1344.850989423405,250.61080817127262,23448.0,54103.0
CAE,1.8429271062531052,1062.768968698985,261.0472020725389,14089.0,673209.0
CAK,1.632074414434607,950.1507340580522,209.29061078112744,8923.0,676549.0
CHA,1.7956390259430208,957.4614037879994,229.6598854050613,12566.0,492354.0
CHO,1.7907825690166552,1088.4614419347479,237.35653433721194,8766.0,182525.0
CHS,1.4738904567597202,974.320954144272,189.4194265787061,55631.0,566543.0
CID,1.6207908163265305,1086.930612244898,218.71809119897958,15680.0,212870.0
CLE,1.33555833194999,1059.6614973308754,176.2925303825891,114457.0,2130938.0
CLL,2.018435754189944,1089.0189944134079,264.5836480446927,1790.0,161371.0
CLT,1.2055386350817823,891.1097856739989,218.58185950366612,177300.0,1135592.0
CMH,1.3902082611707656,1024.6852593522688,200.34867195618287,92384.0,1509212.0
CMI,1.9032006245120998,1089.9812646370024,266.58400468384076,2562.0,205185.0
COD,2.0089514066496164,1348.1630434782608,302.24721227621484,1564.0,
COS,1.6380038194793447,1123.5442255503065,221.76615589506483,19898.0,416250.0
COU,1.7333333333333334,980.1366013071895,245.22923529411767,3060.0,166234.0
CPR,1.9944444444444445,1112.5980158730158,312.2331587301588,2520.0,70259.0
CRP,1.8246571694847558,1015.4161895886034,268.3814099320996,7511.0,379471.0
CRW,1.8251734772552044,1063.5761372397842,274.1799807247494,5188.0,307023.0
CSG,2.0653992395437264,996.2882129277566,311.09379467680606,1315.0,281683.0
CVG,1.2847416981668902,981.765750111775,173.39733325204242,98412.0,1948312.0
CWA,2.0456911509543088,1127.4424522845575,275.09718912666284,3458.0,116766.0
DAB,1.9237053630254315,1072.7238107787587,219.5377375148241,7589.0,
DAL,1.1375663833279144,916.3323424218496,169.316264805611,129174.0,10709246.0
DAY,1.6725442176870748,1011.3431836734694,245.70962557823125,18375.0,861142.0
DCA,1.2403296390067235,990.8428304354387,216.74571997451415,238564.0,10172752.0
DEN,1.1103308355901633,1069.155424976324,162.58517900492726,541689.0,
DFW,1.1251545861009609,1067.8489756747229,220.20982787082477,357406.0,11379964.0
DHN,2.056367432150313,1101.3764787752261,342.3183855254002,1437.0,123924.0
DLH,2.024003959415986,1128.91140806731,269.7728829497649,4041.0,275188.0
DRO,1.7699183832102603,1081.9933929265449,301.5940283715507,5146.0,51464.0
DSM,1.606731314148983,1088.011491719665,227.633659089478,31762.0,423477.0
DTW,1.180999873753314,1047.7980053023607,193.0614056306022,237630.0,8837982.0
EAT,1.9635603345280765,1168.794504181601,229.84899044205497,1674.0,80800.0
ECP,1.661146347192859,928.8513037350247,192.53798567066008,17028.0,
EGE,1.7513307984790873,1198.654752851711,290.7342053231939,2630.0,
ELM,1.7830111625374354,1263.723386877212,223.27360196025046,3673.0,95302.0
ELP,1.5607483456597897,1087.1927063059557,224.09865438886732,41104.0,611299.0
ERI,1.9270709472849783,1156.6698374950456,244.78791914387637,2523.0,279804.0
EUG,1.6910420475319927,1341.4875293810394,213.67493079132933,15316.0,284093.0
EVV,1.757228587015821,1037.8727041280233,246.9392362247681,5499.0,328473.0
EWN,2.023599859105319,1112.9918985558295,250.61670658682633,2839.0,119791.0
EWR,1.1440694074005948,1398.2427664857905,226.54275639964436,326190.0,17072218.0
EYW,1.8552145823719428,1205.2789570835257,262.04303876326713,8668.0,78880.0
FAI,1.7533581023149472,2041.7634324092598,268.6381023149471,13996.0,82769.0
FAR,1.7491279069767443,1197.338468992248,255.11153779069767,10320.0,157539.0
FAT,1.6251686066843183,1310.4366288654644,242.78961033121846,20017.0,844194.0
FAY,2.0680810028929604,1131.0609450337513,280.3168389585342,5185.0,348072.0
FCA,1.6740715958514554,1430.4696554031448,259.1857484108398,14945.0,60818.0
FLG,1.96,1320.2864516129032,250.4566419354839,3100.0,120390.0
FLL,1.1914580739773821,1186.6486739105035,151.54666924511804,248211.0,5120256.0
FLO,2.09849157054126,981.7559893522626,234.07453416149067,1127.0,196698.0
FNT,1.5955541833899352,1058.8470206853967,192.8892528558197,6478.0,431654.0
FSD,1.6685230024213076,1109.542453591606,241.52010330912026,12390.0,156413.0
FSM,1.9453503746143677,1133.3785808726311,290.92028206258266,2269.0,289474.0
FWA,1.650174476570289,1062.5974576271187,232.03216475573282,8024.0,368555.0
GEG,1.591217365209563,1195.9464639391817,201.03902790837256,49985.0,390740.0
GFK,1.8794862108046846,1247.811862485833,280.57297317718167,2647.0,102607.0
GJT,1.7859271523178808,1111.1440397350993,255.30606622516558,6040.0,96356.0
GNV,1.919790611279973,1111.7281323877069,259.38745018574804,5922.0,244060.0
GPT,1.8501276467938128,1058.64409070431,254.0040231265956,6659.0,256655.0
GRB,1.9069145845438698,1104.6281231841951,278.9913224869262,8605.0,247860.0
GRI,1.4044253226797787,1111.743085433313,162.070024585126,1627.0,63541.0
GRK,2.1102384291725107,1158.6274894810658,258.6628134642356,3565.0,354424.0
